BDRY_IDENT	SEG_NBR	NAME	TYPE	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FP00005	120	TZ INDIA MINUS 5 30	01	FP	G		N30080961	30.136003	E073560025	73.933403	N31054772	31.096589	E074362763	74.607675													200107
FP00005	130	TZ INDIA MINUS 5 30	01	FP	G		N31054772	31.096589	E074362763	74.607675	N31431772	31.721589	E074291943	74.488731													200107
FP00005	140	TZ INDIA MINUS 5 30	01	FP	G		N31431772	31.721589	E074291943	74.488731	N32142969	32.241581	E075232867	75.391297													200107
FP00005	150	TZ INDIA MINUS 5 30	01	FP	G		N32142969	32.241581	E075232867	75.391297	N32454900	32.763611	E074365995	74.616653													200107
FP00005	160	TZ INDIA MINUS 5 30	01	FP	G		N32454900	32.763611	E074365995	74.616653	N33184497	33.312492	E074060892	74.102478													200107
FP00005	170	TZ INDIA MINUS 5 30	01	FP	G		N33184497	33.312492	E074060892	74.102478	N34011597	34.021103	E073572097	73.955825													200107
FP00005	180	TZ INDIA MINUS 5 30	01	FP	G		N34011597	34.021103	E073572097	73.955825	N34412096	34.689156	E074035895	74.066375													200107
FP00005	190	TZ INDIA MINUS 5 30	01	FP	G		N34412096	34.689156	E074035895	74.066375	N34313896	34.527489	E075502196	75.839433													200107
FP00005	200	TZ INDIA MINUS 5 30	01	FP	G		N34313896	34.527489	E075502196	75.839433	N34514597	34.862769	E076571597	76.954436													200107
FP00005	210	TZ INDIA MINUS 5 30	01	FP	G		N34514597	34.862769	E076571597	76.954436	N35121696	35.204711	E077143891	77.244142													200107
FP00005	220	TZ INDIA MINUS 5 30	01	FP	G		N35121696	35.204711	E077143891	77.244142	N35280096	35.466933	E078051393	78.087203													200107
FP00005	230	TZ INDIA MINUS 5 30	01	FP	G		N35280096	35.466933	E078051393	78.087203	N34401197	34.669992	E078172892	78.291367													200107
FP00005	240	TZ INDIA MINUS 5 30	01	FP	G		N34401197	34.669992	E078172892	78.291367	N34225096	34.380822	E078570499	78.951386													200107
FP00005	250	TZ INDIA MINUS 5 30	01	FP	G		N34225096	34.380822	E078570499	78.951386	N33284095	33.478042	E078501498	78.837494													200107
FP00005	260	TZ INDIA MINUS 5 30	01	FP	G		N33284095	33.478042	E078501498	78.837494	N32294797	32.496658	E079184994	79.313872													200107
FP00005	270	TZ INDIA MINUS 5 30	01	FP	G		N32294797	32.496658	E079184994	79.313872	N32380798	32.635550	E078453796	78.760544													200107
FP00005	280	TZ INDIA MINUS 5 30	01	FP	G		N32380798	32.635550	E078453796	78.760544	N32335796	32.566100	E078251392	78.420533													200107
FP00005	290	TZ INDIA MINUS 5 30	01	FP	G		N32335796	32.566100	E078251392	78.420533	N32152799	32.257775	E078291996	78.488878													200107
FP00005	300	TZ INDIA MINUS 5 30	01	FP	G		N32152799	32.257775	E078291996	78.488878	N31295398	31.498328	E078424596	78.712767													200107
FP00005	310	TZ INDIA MINUS 5 30	01	FP	G		N31295398	31.498328	E078424596	78.712767	N31192699	31.324164	E079132393	79.223314													200107
FP00005	320	TZ INDIA MINUS 5 30	01	FP	G		N31192699	31.324164	E079132393	79.223314	N30503760	30.843778	E080030959	80.052664													200107
FP00005	330	TZ INDIA MINUS 5 30	01	FP	G		N30503760	30.843778	E080030959	80.052664	N30125098	30.214161	E081015398	81.031661													200107
FP00005	340	TZ INDIA MINUS 5 30	01	FP	G		N30125098	30.214161	E081015398	81.031661	N29474900	29.796944	E080264895	80.446931													200107
FP00005	350	TZ INDIA MINUS 5 30	01	FP	G		N29474900	29.796944	E080264895	80.446931	N28500999	28.836108	E080032094	80.055817													200107
