ORTCA_IDENT	ALT	NW_LAT	NW_DLAT	NW_LONG	NW_DLONG	NE_LAT	NE_DLAT	NE_LONG	NE_DLONG	SW_LAT	SW_DLAT	SW_LONG	SW_DLONG	SE_LAT	SE_DLAT	SE_LONG	SE_DLONG	CYCLE_DATE	ORTCA_ID
056805	04600	N24000000	24.000000	E028000000	28.000000	N24000000	24.000000	E029000000	29.000000	N23000000	23.000000	E028000000	28.000000	N23000000	23.000000	E029000000	29.000000	199907	0568005
056806	04800	N24000000	24.000000	E029000000	29.000000	N24000000	24.000000	E030000000	30.000000	N23000000	23.000000	E029000000	29.000000	N23000000	23.000000	E030000000	30.000000	199907	0568006
056807	08500	N23000000	23.000000	E024000000	24.000000	N23000000	23.000000	E025000000	25.000000	N22000000	22.000000	E024000000	24.000000	N22000000	22.000000	E025000000	25.000000	199907	0568007
056808	07200	N23000000	23.000000	E025000000	25.000000	N23000000	23.000000	E026000000	26.000000	N22000000	22.000000	E025000000	25.000000	N22000000	22.000000	E026000000	26.000000	199907	0568008
056809	07000	N23000000	23.000000	E026000000	26.000000	N23000000	23.000000	E027000000	27.000000	N22000000	22.000000	E026000000	26.000000	N22000000	22.000000	E027000000	27.000000	199907	0568009
056810	05500	N23000000	23.000000	E027000000	27.000000	N23000000	23.000000	E028000000	28.000000	N22000000	22.000000	E027000000	27.000000	N22000000	22.000000	E028000000	28.000000	199907	0568010
056811	04600	N23000000	23.000000	E028000000	28.000000	N23000000	23.000000	E029000000	29.000000	N22000000	22.000000	E028000000	28.000000	N22000000	22.000000	E029000000	29.000000	199907	0568011
056812	04800	N23000000	23.000000	E029000000	29.000000	N23000000	23.000000	E030000000	30.000000	N22000000	22.000000	E029000000	29.000000	N22000000	22.000000	E030000000	30.000000	199907	0568012
056813	08900	N22000000	22.000000	E024000000	24.000000	N22000000	22.000000	E025000000	25.000000	N21000000	21.000000	E024000000	24.000000	N21000000	21.000000	E025000000	25.000000	199907	0568013
056814	09700	N22000000	22.000000	E025000000	25.000000	N22000000	22.000000	E026000000	26.000000	N21000000	21.000000	E025000000	25.000000	N21000000	21.000000	E026000000	26.000000	199907	0568014
056815	06900	N22000000	22.000000	E026000000	26.000000	N22000000	22.000000	E027000000	27.000000	N21000000	21.000000	E026000000	26.000000	N21000000	21.000000	E027000000	27.000000	199907	0568015
056816	05400	N22000000	22.000000	E027000000	27.000000	N22000000	22.000000	E028000000	28.000000	N21000000	21.000000	E027000000	27.000000	N21000000	21.000000	E028000000	28.000000	199907	0568016
056817	05100	N22000000	22.000000	E028000000	28.000000	N22000000	22.000000	E029000000	29.000000	N21000000	21.000000	E028000000	28.000000	N21000000	21.000000	E029000000	29.000000	199907	0568017
056818	05400	N22000000	22.000000	E029000000	29.000000	N22000000	22.000000	E030000000	30.000000	N21000000	21.000000	E029000000	29.000000	N21000000	21.000000	E030000000	30.000000	199907	0568018
056819	06600	N21000000	21.000000	E024000000	24.000000	N21000000	21.000000	E025000000	25.000000	N20000000	20.000000	E024000000	24.000000	N20000000	20.000000	E025000000	25.000000	199907	0568019
056820	06600	N21000000	21.000000	E025000000	25.000000	N21000000	21.000000	E026000000	26.000000	N20000000	20.000000	E025000000	25.000000	N20000000	20.000000	E026000000	26.000000	199907	0568020
056821	05900	N21000000	21.000000	E026000000	26.000000	N21000000	21.000000	E027000000	27.000000	N20000000	20.000000	E026000000	26.000000	N20000000	20.000000	E027000000	27.000000	199907	0568021
056822	05700	N21000000	21.000000	E027000000	27.000000	N21000000	21.000000	E028000000	28.000000	N20000000	20.000000	E027000000	27.000000	N20000000	20.000000	E028000000	28.000000	199907	0568022
056823	05500	N21000000	21.000000	E028000000	28.000000	N21000000	21.000000	E029000000	29.000000	N20000000	20.000000	E028000000	28.000000	N20000000	20.000000	E029000000	29.000000	199907	0568023
056824	05400	N21000000	21.000000	E029000000	29.000000	N21000000	21.000000	E030000000	30.000000	N20000000	20.000000	E029000000	29.000000	N20000000	20.000000	E030000000	30.000000	199907	0568024
056901	07100	N24000000	24.000000	E018000000	18.000000	N24000000	24.000000	E019000000	19.000000	N23000000	23.000000	E018000000	18.000000	N23000000	23.000000	E019000000	19.000000	199907	0569001
056902	10000	N24000000	24.000000	E019000000	19.000000	N24000000	24.000000	E020000000	20.000000	N23000000	23.000000	E019000000	19.000000	N23000000	23.000000	E020000000	20.000000	199907	0569002
056903	10000	N24000000	24.000000	E020000000	20.000000	N24000000	24.000000	E021000000	21.000000	N23000000	23.000000	E020000000	20.000000	N23000000	23.000000	E021000000	21.000000	199907	0569003
056904	10000	N24000000	24.000000	E021000000	21.000000	N24000000	24.000000	E022000000	22.000000	N23000000	23.000000	E021000000	21.000000	N23000000	23.000000	E022000000	22.000000	199907	0569004
056905	10000	N24000000	24.000000	E022000000	22.000000	N24000000	24.000000	E023000000	23.000000	N23000000	23.000000	E022000000	22.000000	N23000000	23.000000	E023000000	23.000000	199907	0569005
056906	10000	N24000000	24.000000	E023000000	23.000000	N24000000	24.000000	E024000000	24.000000	N23000000	23.000000	E023000000	23.000000	N23000000	23.000000	E024000000	24.000000	199907	0569006
056907	09800	N23000000	23.000000	E018000000	18.000000	N23000000	23.000000	E019000000	19.000000	N22000000	22.000000	E018000000	18.000000	N22000000	22.000000	E019000000	19.000000	199907	0569007
056908	10000	N23000000	23.000000	E019000000	19.000000	N23000000	23.000000	E020000000	20.000000	N22000000	22.000000	E019000000	19.000000	N22000000	22.000000	E020000000	20.000000	199907	0569008
056909	10000	N23000000	23.000000	E020000000	20.000000	N23000000	23.000000	E021000000	21.000000	N22000000	22.000000	E020000000	20.000000	N22000000	22.000000	E021000000	21.000000	199907	0569009
056910	10000	N23000000	23.000000	E021000000	21.000000	N23000000	23.000000	E022000000	22.000000	N22000000	22.000000	E021000000	21.000000	N22000000	22.000000	E022000000	22.000000	199907	0569010
056911	10000	N23000000	23.000000	E022000000	22.000000	N23000000	23.000000	E023000000	23.000000	N22000000	22.000000	E022000000	22.000000	N22000000	22.000000	E023000000	23.000000	199907	0569011
056912	10000	N23000000	23.000000	E023000000	23.000000	N23000000	23.000000	E024000000	24.000000	N22000000	22.000000	E023000000	23.000000	N22000000	22.000000	E024000000	24.000000	199907	0569012
056913	14400	N22000000	22.000000	E018000000	18.000000	N22000000	22.000000	E019000000	19.000000	N21000000	21.000000	E018000000	18.000000	N21000000	21.000000	E019000000	19.000000	199907	0569013
056914	10000	N22000000	22.000000	E019000000	19.000000	N22000000	22.000000	E020000000	20.000000	N21000000	21.000000	E019000000	19.000000	N21000000	21.000000	E020000000	20.000000	199907	0569014
056915	10000	N22000000	22.000000	E020000000	20.000000	N22000000	22.000000	E021000000	21.000000	N21000000	21.000000	E020000000	20.000000	N21000000	21.000000	E021000000	21.000000	199907	0569015
056916	10000	N22000000	22.000000	E021000000	21.000000	N22000000	22.000000	E022000000	22.000000	N21000000	21.000000	E021000000	21.000000	N21000000	21.000000	E022000000	22.000000	199907	0569016
056917	10000	N22000000	22.000000	E022000000	22.000000	N22000000	22.000000	E023000000	23.000000	N21000000	21.000000	E022000000	22.000000	N21000000	21.000000	E023000000	23.000000	199907	0569017
056918	10000	N22000000	22.000000	E023000000	23.000000	N22000000	22.000000	E024000000	24.000000	N21000000	21.000000	E023000000	23.000000	N21000000	21.000000	E024000000	24.000000	199907	0569018
056919	14800	N21000000	21.000000	E018000000	18.000000	N21000000	21.000000	E019000000	19.000000	N20000000	20.000000	E018000000	18.000000	N20000000	20.000000	E019000000	19.000000	199907	0569019
056920	10000	N21000000	21.000000	E019000000	19.000000	N21000000	21.000000	E020000000	20.000000	N20000000	20.000000	E019000000	19.000000	N20000000	20.000000	E020000000	20.000000	199907	0569020
