ARF_IDENT	DIRECTION	SEG_NBR	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
AR135V	N	00020	KZAB	R	B	N32211282	32.353561	W111401959	-111.672108	N32225074	32.380761	W111360087	-111.600242	N32220180	32.367167	W111381020	-111.636167	2.00		246.0	66.0					200406
AR135V	N	00030	KZAB	H		N32225074	32.380761	W111360087	-111.600242	N31550124	31.917011	W111211658	-111.354606													200406
AR135V	N	00040	KZAB	R	B	N31550124	31.917011	W111211658	-111.354606	N31532273	31.889647	W111253387	-111.426075	N31541200	31.903333	W111232520	-111.390333	2.00		65.8	245.8					200406
AR135V	S	00010	KZAB	H		N31532273	31.889647	W111253387	-111.426075	N32211282	32.353561	W111401959	-111.672108													200406
AR135V	S	00020	KZAB	R	B	N32211282	32.353561	W111401959	-111.672108	N32225074	32.380761	W111360087	-111.600242	N32220180	32.367167	W111381020	-111.636167	2.00		246.0	66.0					200406
AR135V	S	00030	KZAB	H		N32225074	32.380761	W111360087	-111.600242	N31550124	31.917011	W111211658	-111.354606													200406
AR135V	S	00040	KZAB	R	B	N31550124	31.917011	W111211658	-111.354606	N31532273	31.889647	W111253387	-111.426075	N31541200	31.903333	W111232520	-111.390333	2.00		65.8	245.8					200406
AR136V	N	00010	KZAB	H		N33011222	33.020061	W110464167	-110.778242	N32090925	32.152569	W110114968	-110.197133													200406
AR136V	N	00020	KZAB	R	B	N32090925	32.152569	W110114968	-110.197133	N32071111	32.119753	W110155588	-110.265522	N32081020	32.136167	W110135280	-110.231333	2.00		60.6	240.6					200406
AR136V	N	00030	KZAB	H		N32071111	32.119753	W110155588	-110.265522	N32591295	32.986931	W110504948	-110.847078													200406
AR136V	N	00040	KZAB	R	B	N32591295	32.986931	W110504948	-110.847078	N33011222	33.020061	W110464167	-110.778242	N33001260	33.003500	W110484560	-110.812667	2.00		240.3	60.3					200406
AR136V	S	00010	KZAB	H		N33011222	33.020061	W110464167	-110.778242	N32090925	32.152569	W110114968	-110.197133													200406
AR136V	S	00020	KZAB	R	B	N32090925	32.152569	W110114968	-110.197133	N32071111	32.119753	W110155588	-110.265522	N32081020	32.136167	W110135280	-110.231333	2.00		60.6	240.6					200406
AR136V	S	00030	KZAB	H		N32071111	32.119753	W110155588	-110.265522	N32591295	32.986931	W110504948	-110.847078													200406
AR136V	S	00040	KZAB	R	B	N32591295	32.986931	W110504948	-110.847078	N33011222	33.020061	W110464167	-110.778242	N33001260	33.003500	W110484560	-110.812667	2.00		240.3	60.3					200406
AR137V	N	00010	KZAB	H		N34530443	34.884564	W113583792	-113.977200	N34124126	34.211461	W113532922	-113.891450													200508
AR137V	N	00020	KZAB	R	E	N34124126	34.211461	W113532922	-113.891450	N34115055	34.197375	W114030473	-114.051314	N34121600	34.204444	W113581700	-113.971389	4.00								200508
AR137V	N	00030	KZAB	H		N34115055	34.197375	W114030473	-114.051314	N34521337	34.870381	W114081803	-114.138342													200508
AR137V	N	00040	KZAB	R	E	N34521337	34.870381	W114081803	-114.138342	N34530443	34.884564	W113583792	-113.977200	N34523900	34.877500	W114032800	-114.057778	4.00								200508
